CBSA Name,Latitude,Longitude,PM25_FRMFEM,AQI_PM25_FRMFEM,PM25_NOFRMFEM,AQI_PM25_NOFRMFEM,PM10,AQI_PM10,TEMP,PRESS,RH,DP,WIND,CO,AQI_CO,NO2,AQI_NO2,OZONE,AQI_OZONE,SO2,AQI_SO2,id,MetArea,pop2010,landarea,popdense2010,pop_weight2010,alone,alone_frac,carpool,carpool_frac,other,other_frac,pt,pt_frac,total_trans
"Athens-Clarke County, GA",33.918067,-83.344495,11.3805825243,44.3883495146,10.2369360318,40.5452380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0304668305785,42.5867768595,NA,NA,12020,Metropolitan Statistical Area,192541.0,1024.8,187.9,1442.5,69370.0,0.797127262281,7849.0,0.0901924734272,8189.0,0.0940993967251,1617.0,0.0185808675668,87025.0
"Atlanta-Sandy Springs-Marietta, GA",33.8453635026,-84.424558727,12.565564478,47.9036372225,11.57188224,44.1685185185,18.226640159,16.8330019881,60.0838894668,983.083251712,71.4721800208,NA,NA,0.31446663578,4.60917431193,6.76288457091,14.1738334858,0.0290734801247,42.2205767732,1.76367937445,8.73348017621,12060,Metropolitan Statistical Area,5268860.0,8338.5,631.9,2173.0,1892267.0,0.780229417756,251108.0,0.103538162761,206079.0,0.0849715701757,75816.0,0.0312608493075,2425270.0
"Atlantic City, NJ",39.4149344786,-74.4400195897,8.84700854701,34.641025641,7.78226906977,30.6361556064,15.4285714286,14.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0331287369863,37.6109589041,0.924480526027,2.40273972603,12100,Metropolitan Statistical Area,274549.0,555.7,494.1,3412.3,98468.0,0.762756109842,10650.0,0.0824973856462,10120.0,0.0783918819474,9857.0,0.0763546225648,129095.0
"Augusta-Richmond County, GA-SC",33.5455076133,-81.956502895,11.7541436464,45.6740331492,11.0630335441,42.925,19.0727272727,17.6909090909,65.4361147595,1010.15244974,68.9158515124,NA,NA,NA,NA,NA,NA,0.0292980174064,38.0583115753,NA,NA,12260,Metropolitan Statistical Area,556877.0,3270.3,170.3,1098.6,195324.0,0.837617393542,24168.0,0.103640807925,12112.0,0.051940477722,1586.0,0.00680132081136,233190.0
"Augusta-Waterville, ME",44.312319,-69.786717,6.57294117647,26.0352941176,NA,NA,12.6166666667,11.6333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0292010790698,33.6930232558,NA,NA,12300,Micropolitan Statistical Area,122151.0,867.5,140.8,428.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austin-Round Rock, TX",30.3722106903,-97.7918876195,9.24690265487,37.0796460177,8.20866440219,33.2043010753,15.3474576271,14.2288135593,68.9119491079,NA,NA,NA,4.54942401853,0.300276243094,3.02209944751,2.96385967149,5.80785123967,0.0286507748049,34.2151616499,NA,NA,12420,Metropolitan Statistical Area,1716289.0,4219.9,406.7,3131.5,679084.0,0.761510677212,95408.0,0.106988547354,95745.0,0.107366452147,21522.0,0.0241343232869,891759.0
"Bakersfield, CA",35.3487986871,-118.825738762,13.8207091606,46.3706176962,7.83431863624,31.9848156182,30.9450726979,27.7011308562,65.2406338663,972.535944408,58.0467321475,NA,4.22182518277,0.463889,8.8,9.75189121635,20.7431259045,0.0351043076651,49.7265983751,NA,NA,12540,Metropolitan Statistical Area,839631.0,8131.9,103.3,3711.5,235035.0,0.75820187748,50180.0,0.161876189555,21732.0,0.0701054872738,3043.0,0.0098164456918,309990.0
"Baltimore-Towson, MD",39.2979909504,-76.5834073322,11.3823322243,42.3510583376,11.8225806452,44.4516129032,16.3352941176,15.0705882353,55.9515038112,1004.22119606,63.1870820686,NA,3.81569738724,0.391456824305,5.72327964861,15.3235823181,28.1854493581,0.0331415046613,46.124922312,2.15056786798,7.2106741573,12580,Metropolitan Statistical Area,2710489.0,2601.5,1041.9,5435.7,1003492.0,0.773247503589,124112.0,0.0956353355736,103125.0,0.0794636617009,67034.0,0.0516534991366,1297763.0
"Bangor, ME",44.79886,-68.769675,7.05423728814,28.3389830508,6.36326420214,24.7899159664,14.95,13.85,NA,NA,NA,NA,6.0219896274,NA,NA,NA,NA,0.027584785461,28.5159574468,NA,NA,12620,Metropolitan Statistical Area,153923.0,3397.4,45.3,827.4,60106.0,0.810928224501,7002.0,0.0944684295737,6611.0,0.0891932002159,401.0,0.00541014570966,74120.0
"Baraboo, WI",43.4351,-89.6797,8.5027027027,33.4256756757,NA,NA,NA,NA,47.2213889836,NA,NA,NA,NA,NA,NA,NA,NA,0.0325714598214,34.7857142857,NA,NA,12660,Micropolitan Statistical Area,61976.0,830.9,74.6,269.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baton Rouge, LA",30.4260743681,-91.1975449503,10.523563778,41.817916261,10.600908543,40.0766488414,27.8017241379,25.5977011494,67.7359238282,1011.10667883,71.2737814619,NA,3.09129119602,0.247223925208,3.97506925208,7.09300096727,15.234490609,0.0261652306506,36.8022627925,3.17378124758,15.051175657,12940,Metropolitan Statistical Area,802484.0,4026.9,199.3,1603.3,305593.0,0.832710239628,37259.0,0.101527033729,20226.0,0.0551138190558,3908.0,0.0106489075878,366986.0
"Bay City, MI",43.571391,-83.890721,8.1479338843,31.1074380165,NA,NA,NA,NA,49.8581717507,NA,NA,NA,4.07838040274,NA,NA,NA,NA,NA,NA,NA,NA,13020,Metropolitan Statistical Area,107771.0,442.3,243.7,1780.5,30580.0,0.845265078224,2756.0,0.07617889325,2569.0,0.071010006081,273.0,0.00754602244458,36178.0
"Beaumont-Port Arthur, TX",30.004983,-93.834373033,10.6197802198,41.8571428571,9.96324410878,39.5794223827,NA,NA,68.5411099541,1017.61628616,72.6582952712,58.8173681014,5.55213362099,0.173596147945,2.25479452055,5.55864503173,12.5119887165,0.028283884,35.1350769231,1.60479962438,10.355721393,13140,Metropolitan Statistical Area,388745.0,2100.5,185.1,1711.2,140106.0,0.84305218757,17950.0,0.108009555386,7312.0,0.0439980985504,821.0,0.00494015849424,166189.0
"Beaver Dam, WI",43.466111,-88.621111,9.21338515415,35.7562076749,8.70427350427,34.264957265,14.2868217054,13.2273901809,50.4505813324,NA,70.5714805174,NA,NA,0.124049439883,1.58651026393,NA,NA,0.0316652761628,33.9447674419,0.748856402941,2.27941176471,13180,Micropolitan Statistical Area,88759.0,875.6,101.4,1041.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beckley, WV",37.807767,-81.197433,10.3291666667,41.1333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13220,Micropolitan Statistical Area,78859.0,605.4,130.3,633.1,35341.0,0.831533375685,3926.0,0.0923742970754,3231.0,0.0760217406649,3.0,7.05865744335e-05,42501.0
"Bend, OR",44.063916,-121.312554,4.53518518519,18.7222222222,4.64068397805,18.9642857143,NA,NA,46.1891138521,884.260231115,60.8272433945,NA,4.27695658011,NA,NA,NA,NA,0.0303581883117,35.4415584416,NA,NA,13460,Metropolitan Statistical Area,157733.0,3018.2,52.3,1154.6,52925.0,0.778812761198,5789.0,0.085187474248,8818.0,0.129760433221,424.0,0.00623933133204,67956.0
"Bennington, VT",42.88759,-73.24984,6.925,27.5333333333,6.05117015897,22.9168704156,NA,NA,48.7023459315,984.089860471,68.4186427096,NA,2.82470803288,NA,NA,NA,NA,0.029597139726,33.3945205479,NA,NA,13540,Micropolitan Statistical Area,37125.0,675.0,55.0,547.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Birmingham-Hoover, AL",33.5374017901,-86.9041576132,11.9562862669,46.0440038685,11.8557938156,45.932807571,26.5614130435,24.2135869565,NA,NA,NA,NA,3.1850556,0.416696819718,6.32769953052,NA,NA,0.0285939193422,41.9506656226,1.69771570959,8.21095890411,13820,Metropolitan Statistical Area,1128047.0,5279.5,213.7,1314.2,415684.0,0.848677628919,48485.0,0.0989889792202,22391.0,0.045714390713,3242.0,0.0066190011474,489802.0
"Bishop, CA",36.487823,-117.871036,7.17177869258,26.5814889336,2.98739495798,12.5462184874,23.9090708939,21.0202553941,60.0879557965,881.839063283,36.0652237535,25.6423735926,5.47617210127,NA,NA,NA,NA,0.0432048408408,41.1321321321,NA,NA,13860,Micropolitan Statistical Area,18546.0,10180.9,1.8,505.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bismarck, ND",46.825425,-100.76821,7.75029018477,31.1257035647,NA,NA,13.9152542373,12.8587570621,42.6161872877,945.459274948,NA,NA,7.66415768219,NA,NA,5.69431642222,14.1972222222,0.0288036342857,30.96,1.16600763636,7.8347107438,13900,Metropolitan Statistical Area,108779.0,3558.9,30.6,1802.5,50567.0,0.815373204121,6548.0,0.105583952787,4838.0,0.0780108679878,64.0,0.0010319751036,62017.0
"Bloomington, IN",39.159383,-86.504762,11.924494305,45.6649746193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0372212259887,45.8813559322,NA,NA,14020,Metropolitan Statistical Area,192714.0,1322.3,145.7,2331.1,56472.0,0.723341573696,7857.0,0.100639161789,10778.0,0.138053822802,2964.0,0.0379654417133,78071.0
"Bloomington-Normal, IL",40.518735,-88.996896,10.4914529915,40.6666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.030470460274,35.8575342466,NA,NA,14060,Metropolitan Statistical Area,169572.0,1183.4,143.3,3046.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise City-Nampa, ID",43.5934577049,-116.424148882,11.1341891848,40.2125984252,6.68842975207,27.2314049587,18.3074712644,16.8448275862,54.9988648465,927.593819358,57.4803554764,NA,3.82073155906,0.311235322115,4.95993589744,8.62960430632,21.9841897233,0.0293704986111,37.4375,0.334688072022,0.692520775623,14260,Metropolitan Statistical Area,616561.0,11765.6,52.4,2310.2,215744.0,0.792046639353,23667.0,0.0868870875369,31721.0,0.116455203607,1256.0,0.0046110695038,272388.0
"Boone, NC",36.221944,-81.663056,8.8243697479,35.9243697479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14380,Micropolitan Statistical Area,51079.0,312.6,163.4,937.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boston-Cambridge-Quincy, MA-NH",42.5799493116,-70.9826880352,8.42147579101,33.936149784,8.49831286562,33.3243518048,13.2857142857,12.2415966387,52.8047253533,1004.11791732,65.7904690661,NA,NA,0.269831838134,3.60425240055,11.1045117415,19.3359273671,0.0303862650463,34.3402777778,2.29700871012,6.67231193383,14460,Metropolitan Statistical Area,4552402.0,3487.4,1305.4,7980.1,1720053.0,0.695489646015,192883.0,0.0779906952822,267860.0,0.108307044365,292358.0,0.118212614338,2473154.0
"Boulder, CO",40.0922436116,-105.182790595,6.96363636364,27.7933884298,NA,NA,18.2123893805,16.8407079646,NA,NA,NA,NA,NA,0.454621120548,7.59726027397,NA,NA,0.0387384680851,43.7510638298,NA,NA,14500,Metropolitan Statistical Area,294567.0,726.3,405.6,3650.0,127496.0,0.695297460312,15306.0,0.0834710338171,33273.0,0.181453789899,7294.0,0.0397777159716,183369.0
"Bowling Green, KY",37.035438,-86.250628,11.5063218391,45.183908046,8.39444457414,34.1966527197,NA,NA,57.3851866236,989.9106214,68.9147563352,NA,2.99427221644,0.3,3.0,NA,NA,0.032908996633,40.0942760943,1.29411421978,4.34065934066,14540,Metropolitan Statistical Area,125953.0,844.5,149.1,1730.3,58576.0,0.831761899352,7464.0,0.105986595479,4204.0,0.0596955583324,180.0,0.00255594683631,70424.0
"Bozeman, MT",44.9221793884,-111.121195599,6.84466720421,27.0358974359,4.08262127581,16.4972144847,NA,NA,NA,NA,NA,NA,NA,0.333104770718,4.36325966851,1.87928396605,7.50308641975,NA,NA,NA,NA,14580,Micropolitan Statistical Area,89513.0,2602.7,34.4,1691.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bradenton-Sarasota-Venice, FL",27.290556,-82.507222,7.24039735099,29.8609271523,10.9544645611,43.8398835517,18.7713498623,17.4297520661,NA,NA,NA,NA,NA,NA,NA,4.38756015584,9.12987012987,0.0287137502304,33.9244239631,NA,NA,35840,Metropolitan Statistical Area,702281.0,1298.8,540.7,2390.2,217944.0,0.807104343189,25324.0,0.0937814777508,24487.0,0.0906818451147,2277.0,0.00843233394561,270032.0
"Brainerd, MN",47.159942,-94.150987,4.72222222222,19.7037037037,6.88475508571,27.4741641337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0299556597938,33.4690721649,NA,NA,14660,Micropolitan Statistical Area,91067.0,3020.6,30.1,191.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bridgeport-Stamford-Norwalk, CT",41.1735587108,-73.3426058262,8.75954415954,34.037037037,NA,NA,14.0666666667,13.0303030303,54.7305853811,NA,73.4488241534,45.1691788192,NA,0.333197790055,5.24585635359,10.1189620306,23.0555555556,0.0335568186813,45.9107142857,1.41383176341,3.95735900963,14860,Metropolitan Statistical Area,916829.0,624.9,1467.2,5122.4,355827.0,0.776175954768,40268.0,0.087837778883,39723.0,0.0866489542706,22618.0,0.0493373120785,458436.0
"Brigham City, UT",41.492707,-112.018863,8.1268907563,29.6470588235,8.73652549541,33.04,NA,NA,55.2488313975,860.934817049,56.1228617437,NA,NA,NA,NA,NA,NA,0.0395695438144,42.8324742268,NA,NA,14940,Micropolitan Statistical Area,49975.0,5745.6,8.7,929.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brookings, SD",44.310283,-96.80071,8.68728813559,33.9406779661,NA,NA,27.5666666667,24.5166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0302912465753,32.997260274,NA,NA,15100,Micropolitan Statistical Area,31965.0,792.2,40.3,612.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brownsville-Harlingen, TX",26.06961,-97.162206,9.67735849057,38.8113207547,9.99903425363,39.215,19.1570996979,17.7039274924,73.506247337,NA,NA,NA,6.58689066807,0.303566487535,3.19944598338,NA,NA,0.0269575923754,30.2023460411,NA,NA,15180,Metropolitan Statistical Area,406220.0,890.9,456.0,2842.9,109850.0,0.805688594207,16864.0,0.123688051458,8672.0,0.0636042921162,957.0,0.00701906221808,136343.0
"Brunswick, GA",31.169735,-81.495881,10.6769230769,41.7692307692,NA,NA,19.6078431373,18.2156862745,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.030533195122,35.6829268293,1.10087275,2.19444444444,15260,Metropolitan Statistical Area,112370.0,1286.4,87.4,539.0,36717.0,0.809261422495,4895.0,0.107888298693,3465.0,0.0763703687377,294.0,0.00647991007472,45371.0
"Buffalo-Niagara Falls, NY",42.9075922715,-78.8560133265,9.88470790378,37.7594501718,10.0434253042,38.5458362491,NA,NA,50.1276760497,992.901277956,75.4730563529,NA,5.15310051152,0.352354408633,4.45899280576,10.6396917431,21.4516594517,0.0315082823713,35.8907956318,1.61778868081,5.84040590406,15380,Metropolitan Statistical Area,1135509.0,1565.1,725.5,4129.4,431201.0,0.822060216915,42076.0,0.08021550434,33890.0,0.0646093602549,17370.0,0.03311491849,524537.0
"Burlington, NC",36.089004,-79.407821,11.0867768595,43.3636363636,10.6924361003,42.1432506887,NA,NA,NA,NA,NA,NA,2.52640575342,NA,NA,NA,NA,NA,NA,NA,NA,15500,Metropolitan Statistical Area,151131.0,423.9,356.5,1126.7,49079.0,0.831396530695,5921.0,0.100301531373,3879.0,0.0657101233229,153.0,0.00259181460903,59032.0
"Burlington-South Burlington, VT",44.4962259889,-73.0998844568,6.52701949861,26.1086350975,6.02194062073,23.2620967742,9.22,8.51,47.7801500633,983.58152016,61.3998147595,NA,2.94834688308,0.377644739726,5.32876712329,8.54443931845,15.2261904762,0.032820377709,32.479876161,NA,NA,15540,Metropolitan Statistical Area,211261.0,1252.1,168.7,2053.9,86274.0,0.734371807967,12432.0,0.10582226762,16503.0,0.140474974464,2271.0,0.0193309499489,117480.0
"Butte-Silver Bow, MT",46.002602,-112.501247,8.71591053782,33.8295081967,15.4289024162,48.867768595,29.7561728395,27.3703703704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15580,Micropolitan Statistical Area,34200.0,718.5,47.6,2174.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cadillac, MI",44.310555,-84.891865,5.94594594595,23.9099099099,6.78928571429,26.8571428571,NA,NA,46.2031028082,975.374516099,NA,NA,3.240431,NA,NA,0.644424767606,1.67605633803,0.0294542391304,33.3007246377,NA,NA,15620,Micropolitan Statistical Area,47584.0,1129.7,42.1,370.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canton-Massillon, OH",40.7899682629,-81.3894610279,14.3155378486,51.7828685259,14.8933333333,53.2166666667,NA,NA,NA,NA,NA,NA,NA,0.424992430137,5.69863013699,NA,NA,0.03239505,42.984375,NA,NA,15940,Metropolitan Statistical Area,404422.0,969.9,417.0,1919.9,142227.0,0.855104703385,13481.0,0.0810511823095,8931.0,0.053695431289,1688.0,0.010148683016,166327.0
"Cape Coral-Fort Myers, FL",26.602016,-81.877908,6.91012658228,28.6075949367,8.71521895038,35.2423312883,16.3908045977,15.1264367816,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0310422269601,32.8817056396,NA,NA,15980,Metropolitan Statistical Area,618754.0,784.5,788.7,1911.3,176000.0,0.766921290345,27803.0,0.121151776338,23150.0,0.100876294724,2536.0,0.0110506385927,229489.0
"Casper, WY",42.851064,-106.325088,4.56379310345,19.0517241379,NA,NA,15.1241830065,13.9738562092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16220,Metropolitan Statistical Area,75450.0,5340.4,14.1,2003.6,32815.0,0.825721547017,4337.0,0.109131627287,2381.0,0.0599129362623,208.0,0.00523388943409,39741.0
"Cedar Rapids, IA",41.9838327859,-91.6855743451,10.8765072765,41.0041580042,10.6461944596,40.4367666232,20.3852459016,18.7540983607,50.1237996959,983.216820071,66.7579476932,36.4235880338,3.50922718881,0.226688677686,3.37465564738,NA,NA,0.0308592108527,36.3658914729,0.805380284932,4.05342465753,16300,Metropolitan Statistical Area,257940.0,2008.8,128.4,1661.3,111278.0,0.830879278418,10916.0,0.0815064810943,10699.0,0.0798862075145,1035.0,0.00772803297294,133928.0
"Champaign-Urbana, IL",40.0685613333,-88.3407368889,11.1972222222,42.9861111111,9.08823529412,36.0840336134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0254618105263,29.1473684211,NA,NA,16580,Metropolitan Statistical Area,231891.0,1921.1,120.7,4405.2,81721.0,0.701570186207,10818.0,0.0928719212246,17692.0,0.151884824395,6252.0,0.053673068173,116483.0
"Charleston, WV",38.356063025,-81.661562,12.4,47.4,11.9573333333,45.6866666667,18.8527777778,17.4166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0263509439252,42.0,3.89076625753,15.9397260274,16620,Metropolitan Statistical Area,304284.0,2527.7,120.4,1033.7,93234.0,0.820100979892,13278.0,0.116795383776,5483.0,0.0482293334272,1691.0,0.0148743029045,113686.0
"Charleston-North Charleston, SC",32.8736178908,-79.9979579966,9.51478953356,38.06370876,9.37586848492,37.7652329749,17.4269340974,16.1489971347,NA,NA,NA,NA,3.11220385269,0.0787900033557,1.01677852349,4.7573252153,11.2846975089,0.0280762580645,34.6495601173,0.83026442524,4.20713305898,16700,Metropolitan Statistical Area,664607.0,2588.2,256.8,1926.0,257639.0,0.808702912585,30099.0,0.0944777342168,26418.0,0.0829234453816,4427.0,0.0138959078168,318583.0
"Charlotte-Gastonia-Concord, NC-SC",35.248844265,-80.8802185492,11.270964467,43.9025380711,11.4479478127,44.9263959391,19.7123809524,18.2323809524,60.6120292055,990.632234137,70.5309662863,47.0446458849,1.65730614693,0.314959089041,5.15753424658,11.7877431808,24.0547945205,0.0303480522332,41.8251324754,0.933420691877,3.79551820728,16740,Metropolitan Statistical Area,1758038.0,3085.2,569.8,1881.3,838594.0,0.809502113061,103936.0,0.100330328649,75704.0,0.0730777324512,17704.0,0.017089825839,1035938.0
"Charlottesville, VA",38.07657,-78.50397,9.42416666667,37.5166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0336215302326,43.1488372093,NA,NA,16820,Metropolitan Statistical Area,201559.0,1644.0,122.6,2050.7,77378.0,0.744155182197,11601.0,0.111568459622,12480.0,0.120021927083,2522.0,0.024254431098,103981.0
